Region;2011;2012;2013;2014;2015;2016;2017;2018
Amazonas;1622.32;2278.35;1365.86;5468.79;1336.57;37012.88;4097.74;713.8
Ancash;158.61;73.94;58.14;74.02;47.6;587.25;724.62;216.88
Apurimac;0;0;0;0;0;10.39;10.38;5.18
Arequipa;2597.43;767.79;76.97;841.52;1938.93;200.14;2642.12;97.48
Ayacucho;178.37;153.08;116.95;67.91;59.89;240.34;903.49;201.76
Cajamarca;549.11;297.7;91.56;161.28;2753.59;4959.1;3074.4;70.59
Callao;0;0;0;5.23;0;0;5.23;0
Cusco;883.13;1434.81;950.13;794.57;415.34;1055.24;8150.62;1013.04
Huancavelica;0;0;0;0;0;10.43;46.2;5.22
Huanuco;9031.78;13189.45;9863.8;16219.61;3951.98;11937.73;11903.38;2514.07
Ica;31.11;15.54;5.19;36.27;51.73;191.86;60.55;36.27
Junin;536.25;675.22;615.47;522.71;506.11;2014.25;6474.17;981.38
La Libertad;1726.38;791.33;886.88;1328.59;727.28;3891.14;2187.71;1084.2
Lambayeque;636.6;389.91;886.06;507.19;346.93;1699.06;3453.61;341.56
Lima;236.33;131.23;115.62;393.01;157.64;146.95;901.11;257.62
Loreto;32678.04;35207.09;31635.89;46762.28;22698.37;80723.41;60903.73;19664.57
Madre De Dios;8696.94;9053.08;10563.69;9262.31;8537.8;14562.98;40860.37;5972.27
Moquegua;93.18;679.54;10.3;5.15;301.06;61.81;1867.43;72.08
Pasco;1268.08;1511.99;1274.77;1531.58;570.55;1355.87;2659.86;531
Piura;89.63;53.64;187.67;1415.29;192.82;653.72;5264.62;177.14
Puno;213.97;260.78;764.22;939.07;416.01;577.58;3556.58;953.39
San Martin;17136.15;27298.6;9832.54;11110.41;8231.1;23757.85;12137.76;3455.26
Tacna;250.43;60.31;262.14;10.25;92.33;0;2497.21;15.37
Tumbes;21.49;139.8;166.57;182.78;32.26;51;2339.47;53.76
Ucayali;15442.76;19482.67;18638.15;19129.67;7059.54;19076.29;0;0
